year	prov	sex	ageGrp	pop
2553 	67 	2 	55 	47073
2553 	67 	2 	65 	45619
2554 	53 	1 	0 	12109
2554 	53 	1 	5 	13462
2554 	53 	1 	10 	15470
2554 	53 	1 	15 	31740
2554 	53 	1 	25 	34351
2554 	53 	1 	35 	38966
2554 	53 	1 	45 	36720
2554 	53 	1 	55 	24458
2554 	53 	1 	65 	20470
2554 	53 	2 	0 	11200
2554 	53 	2 	5 	12475
2554 	53 	2 	10 	14539
2554 	53 	2 	15 	29858
2554 	53 	2 	25 	33357
2554 	53 	2 	35 	39913
2554 	53 	2 	45 	39560
2554 	53 	2 	55 	26833
2554 	53 	2 	65 	26348
2554 	63 	1 	0 	22712
2554 	63 	1 	5 	23167
2554 	63 	1 	10 	23613
2554 	63 	1 	15 	44743
2554 	63 	1 	25 	41797
2554 	63 	1 	35 	39790
2554 	63 	1 	45 	34210
2554 	63 	1 	55 	21259
2554 	63 	1 	65 	16676
2554 	63 	2 	0 	20972
2554 	63 	2 	5 	22131
2554 	63 	2 	10 	21907
2554 	63 	2 	15 	41164
2554 	63 	2 	25 	39234
2554 	63 	2 	35 	38799
2554 	63 	2 	45 	34557
2554 	63 	2 	55 	21931
2554 	63 	2 	65 	19689
2554 	64 	1 	0 	16881
2554 	64 	1 	5 	17520
2554 	64 	1 	10 	19817
2554 	64 	1 	15 	40973
2554 	64 	1 	25 	46006
2554 	64 	1 	35 	51163
2554 	64 	1 	45 	48189
2554 	64 	1 	55 	29898
2554 	64 	1 	65 	23330
2554 	64 	2 	0 	15650
2554 	64 	2 	5 	15931
2554 	64 	2 	10 	18283
2554 	64 	2 	15 	38996
2554 	64 	2 	25 	45013
2554 	64 	2 	35 	52846
2554 	64 	2 	45 	52871
2554 	64 	2 	55 	34970
2554 	64 	2 	65 	33305
2554 	65 	1 	0 	24027
2554 	65 	1 	5 	25115
2554 	65 	1 	10 	28032
2554 	65 	1 	15 	66258
