plotid	x	y	distname	distcode
500	684753.92	1586562.41	Sam Bandit	141403
501	683167.68	1588903.90	Ban Hip	141404
502	687451.12	1589715.40	Nong Mai Sung	141405
503	679204.86	1588557.90	Uthai	141406
504	682031.28	1592357.41	Sena	141407
505	685147.03	1583193.90	Nong Nam Som	141408
506	690059.33	1585606.92	Phosaohan	141409
507	675723.16	1587105.40	Tha-nu	141410
508	676150.16	1590974.90	Khao Mao	141411
509	663427.68	1607349.92	Hua Phai	141501
510	667055.40	1608218.92	Ka Thum	141502
511	665034.38	1608583.93	Maha Rat	141503
512	666385.50	1610564.93	Nam Tao	141504
513	669610.35	1611935.45	Bang Na	141505
514	668241.40	1614357.94	Rong Chang	141506
515	665394.39	1613127.43	Chao Pluk	141507
516	665902.68	1615604.43	Phit Phian	141508
517	663003.17	1615659.44	Ban Na	141509
518	662534.18	1611805.92	Ban Khwang	141510
519	660879.49	1610124.94	Tha To	141511
520	661524.55	1606883.92	Ban Mai	141512
521	669761.99	1619557.45	Ban Phraek	141601
522	670158.18	1620982.95	Ban Mai	141602
523	668190.87	1618409.94	Sam Phaniang	141603
524	666377.04	1619671.93	Klong Noi	141604
525	663410.62	1619422.43	Song Hong	141605
526	656203.72	1612289.42	Talat Luang	150101
527	657375.53	1613385.43	Bang Kaeo	150102
528	654063.77	1613602.43	Sala Daeng	150103
529	653327.33	1616000.42	Pa Ngiu	150104
530	655239.63	1611065.92	Ban Hae	150105
531	658954.36	1615888.93	Talat Kruat	150106
532	650513.61	1611289.42	Mahat Thai	150107
533	659223.73	1612596.93	Ban It	150108
534	658743.39	1608932.93	Hua Phai	150109
535	655593.63	1608124.91	Champa Lo	150110
536	656546.48	1609775.92	Phosa	150111
537	660398.07	1615752.93	Ban Ri	150112
538	653371.03	1610689.92	Khlong Wua	150113
539	656495.22	1615757.43	Yan Su	150114
540	660232.97	1620693.44	Chora-khe Rong	150201
541	657270.77	1626866.96	Chaiphum	150202
542	659684.07	1618837.94	Chairit	150203
543	656587.02	1619586.95	Thawarat	150204
544	656095.86	1623004.44	Rat Sathit	150205
545	655001.41	1626532.45	Chaiyo	150206
546	658651.37	1624594.95	Lak Fa	150207
547	658879.11	1623294.46	Chawai	150208
548	660989.27	1623774.45	Trinarong	150209
549	657305.12	1603634.41	Bang Pla Kot	150301
550	656773.99	1604505.91	Pa Mok	150302
551	659550.24	1605628.42	Sai Thong	150303
552	659178.79	1602586.90	Rong Chang	150304
553	658981.09	1599347.90	Bang Sadet	150305
554	653785.04	1605056.93	Norasing	150306
555	652910.29	1603164.90	Ek Rat	150307
556	655205.58	1598866.91	Phongpheng	150308
557	650017.71	1622099.94	Ang Khao	150401
558	654023.57	1620211.43	Intha Bramun	150402
559	651672.72	1618928.43	Bang Phap	150403
560	642919.95	1625447.44	Nong Mae Kai	150404
561	634755.64	1623993.93	Ram Masak	150405
562	653328.51	1625606.95	Bang Rakam	150406
563	648865.07	1615914.43	Pho Rang Nok	150407
564	650645.15	1628915.45	Ongkharak	150408
565	648224.75	1625082.95	Khok Phutsa	150409
566	640262.76	1620732.43	Yang Chai	150410
